Distance_(µm),Value
0.00000,8562.759
0.11100,8831.082
0.22200,7850.028
0.33300,7026.848
0.44400,6741.969
0.55500,6620.337
0.66600,6561.025
0.77700,6526.247
0.88800,6392.445
0.99900,6417.468
1.11000,6582.722
1.22100,6723.141
1.33200,6928.855
1.44300,7319.129
1.55400,7867.372
1.66500,8199.554
1.77600,8027.621
1.88700,7882.110
1.99800,7635.389
2.10900,7465.232
2.22000,7442.780
2.33100,7570.592
2.44200,7887.794
2.55300,7960.655
2.66400,8056.759
2.77500,8226.719
2.88600,8570.996
2.99700,8589.667
3.10800,8537.668
3.21900,8548.817
3.33000,8917.799
3.44100,8889.293
3.55200,8621.217
3.66300,8418.088
3.77400,8340.195
3.88500,8145.673
3.99600,8117.256
4.10700,8428.303
4.21800,8276.234
4.32900,8124.529
4.44000,8143.770
4.55100,8125.435
4.66200,7975.604
4.77300,8002.283
4.88400,7711.071
4.99500,7439.861
5.10600,7623.025
5.21700,7466.361
5.32800,7355.913
5.43900,7240.234
5.55000,7139.798
5.66100,6908.017
5.77200,6858.197
5.88300,6679.126
5.99400,6740.445
6.10500,6865.365
6.21600,6823.500
6.32700,6698.995
6.43800,6623.279
6.54900,7025.572
6.66000,7753.505
